w	d	t_history	r_history	delta_t	p_recall	total_cnt
iconoclastic	8	0	0	1	0.5472	106
icy	1	0	0	1	0.939	295
idealistic	4	0	0	1	0.7441	379
ideally	2	0	0	1	0.8381	105
identical	8	0	0	1	0.502	12417
identification	4	0	0	1	0.7295	2677
ideology	6	0	0	1	0.6466	7631
idiosyncrasy	9	0	0	1	0.4816	380
idle	8	0	0	1	0.5481	10306
idolise	2	0	0	1	0.8333	126
idyllic	7	0	0	1	0.5845	491
ignite	7	0	0	1	0.5571	5762
ignominy	10	0	0	1	0.4466	365
ignorance	4	0	0	1	0.7074	3995
ignorant	6	0	0	1	0.6323	7313
illegal	3	0	0	1	0.7541	4437
illegally	2	0	0	1	0.8155	374
illegible	7	0	0	1	0.5707	417
illiquid	5	0	0	1	0.6988	933
illiteracy	4	0	0	1	0.747	494
illiterate	5	0	0	1	0.6655	7032
illuminate	8	0	0	1	0.5359	6561
illuminati	6	0	0	1	0.6389	108
illusion	7	0	0	1	0.5587	9842
illusive	4	0	0	1	0.744	207
illustration	6	0	0	1	0.6095	3736
image	4	0	0	1	0.737	4992
imagery	3	0	0	1	0.7968	187
imaginary	4	0	0	1	0.7359	2961
imagination	2	0	0	1	0.8079	2207
imbalance	1	0	0	1	0.9593	123
imbecility	8	0	0	1	0.5278	144
imbroglio	10	0	0	1	0.3929	112
imitation	6	0	0	1	0.628	4903
imitative	6	0	0	1	0.6291	399
immaculate	10	0	0	1	0.3883	497
immeasurable	3	0	0	1	0.7967	182
immemorial	6	0	0	1	0.6304	184
immense	8	0	0	1	0.5391	9615
immensity	9	0	0	1	0.4951	513
immersive	7	0	0	1	0.5811	2492
immigrant	4	0	0	1	0.702	6570
immigrate	5	0	0	1	0.671	1371
immigration	4	0	0	1	0.7186	2356
immolate	10	0	0	1	0.4	115
immortal	6	0	0	1	0.6225	604
immunise	6	0	0	1	0.6263	495
immunity	4	0	0	1	0.703	1441
immutable	7	0	0	1	0.5644	264
impairment	7	0	0	1	0.5984	122
impale	7	0	0	1	0.575	360
impart	10	0	0	1	0.431	6696
impassioned	5	0	0	1	0.6953	430
impassive	7	0	0	1	0.5659	516
impede	9	0	0	1	0.4671	1610
impend	9	0	0	1	0.4921	443
impending	9	0	0	1	0.4638	2042
imperious	10	0	0	1	0.3808	499
impersonal	5	0	0	1	0.6614	889
impertinent	10	0	0	1	0.4203	395
imperturbable	10	0	0	1	0.4076	238
impervious	10	0	0	1	0.4254	268
impinge	10	0	0	1	0.4211	2403
impious	6	0	0	1	0.6405	306
implacable	9	0	0	1	0.4845	322
implant	1	0	0	1	0.8801	392
implausible	7	0	0	1	0.5781	2325
implement	10	0	0	1	0.4311	12583
implementation	7	0	0	1	0.5561	3692
implication	8	0	0	1	0.5193	8712
imply	7	0	0	1	0.5973	8295
import	4	0	0	1	0.7343	5999
importation	4	0	0	1	0.746	878
imposing	8	0	0	1	0.5235	871
impostor	8	0	0	1	0.5067	300
impotence	4	0	0	1	0.7083	336
impregnable	9	0	0	1	0.4973	372
impressionable	8	0	0	1	0.5217	2793
impressionism	1	0	0	1	0.8947	114
impressive	3	0	0	1	0.7572	3097
imprint	4	0	0	1	0.7263	716
imprison	4	0	0	1	0.7407	4597
imprisonment	4	0	0	1	0.7312	1332
improbable	1	0	0	1	0.8643	280
impromptu	9	0	0	1	0.4653	1702
improvement	4	0	0	1	0.7274	2652
imprudent	8	0	0	1	0.529	397
impulse	7	0	0	1	0.5811	8523
impulsive	7	0	0	1	0.5985	1990
impurity	9	0	0	1	0.4601	552
impute	10	0	0	1	0.4167	312
in	1	0	0	1	0.8609	230
inability	2	0	0	1	0.8285	3190
inaccessible	7	0	0	1	0.5609	1027
inaccuracy	4	0	0	1	0.75	328
inaccurate	7	0	0	1	0.5825	661
inaction	3	0	0	1	0.7764	246
inactive	2	0	0	1	0.8413	189
inadequate	6	0	0	1	0.6023	3734
inadvertent	10	0	0	1	0.4295	631
inadvertently	10	0	0	1	0.4469	311
inalienable	7	0	0	1	0.5893	521
inanity	10	0	0	1	0.3775	204
inattentive	5	0	0	1	0.6726	113
inaudible	3	0	0	1	0.7857	196
inaugurate	10	0	0	1	0.3721	6060
inborn	1	0	0	1	0.9004	1305
incantation	10	0	0	1	0.4019	316
incapable	6	0	0	1	0.6489	1125
incense	10	0	0	1	0.4113	671
incent	6	0	0	1	0.6154	156
incentive	10	0	0	1	0.4006	12465
inception	7	0	0	1	0.5671	432
incessantly	9	0	0	1	0.4975	199
inchoate	10	0	0	1	0.4379	153
incidental	6	0	0	1	0.6058	1824
incipient	9	0	0	1	0.4631	650
incise	5	0	0	1	0.652	296
incised	6	0	0	1	0.6131	137
incite	10	0	0	1	0.4236	2715
inclination	6	0	0	1	0.6236	4418
incline	7	0	0	1	0.5785	9739
inclined	6	0	0	1	0.6482	958
including	3	0	0	1	0.7771	166
inclusive	4	0	0	1	0.7288	4049
incogitant	9	0	0	1	0.4563	103
income	3	0	0	1	0.7593	3045
incommensurate	8	0	0	1	0.5329	152
incomparable	3	0	0	1	0.7573	103
incompatible	8	0	0	1	0.5138	2536
incompetence	6	0	0	1	0.608	398
incompetent	4	0	0	1	0.7116	1387
incompetently	5	0	0	1	0.6722	1205
incomplete	3	0	0	1	0.7714	1457
inconsequential	6	0	0	1	0.6331	248
inconsistent	6	0	0	1	0.6325	1396
inconspicuous	8	0	0	1	0.5259	135
incontrovertible	6	0	0	1	0.6317	334
incorporation	4	0	0	1	0.743	179
incorrect	4	0	0	1	0.7391	207
incorrectly	2	0	0	1	0.8203	128
incredible	6	0	0	1	0.6234	7097
incredibly	8	0	0	1	0.53	3064
increment	4	0	0	1	0.7195	656
incriminate	5	0	0	1	0.651	404
incubate	8	0	0	1	0.5249	503
incubation	8	0	0	1	0.5193	233
incubator	7	0	0	1	0.5641	156
inculcate	10	0	0	1	0.3466	776
inculpate	8	0	0	1	0.5481	104
incumbent	10	0	0	1	0.3296	1520
incurable	4	0	0	1	0.7203	143
incursion	5	0	0	1	0.6568	440
indecipherable	7	0	0	1	0.562	121
indeed	6	0	0	1	0.6106	7537
indefensible	6	0	0	1	0.6353	1703
indefinitely	5	0	0	1	0.6906	1364
indelible	10	0	0	1	0.4304	395
indemnify	10	0	0	1	0.3537	311
indemnity	10	0	0	1	0.4006	362
independence	3	0	0	1	0.7761	2063
independent	3	0	0	1	0.7531	3301
indicate	8	0	0	1	0.5037	8922
indication	7	0	0	1	0.5788	5359
indicative	8	0	0	1	0.5049	5890
indices	5	0	0	1	0.6772	189
indict	10	0	0	1	0.4459	1830
indifference	3	0	0	1	0.7616	2227
indifferent	4	0	0	1	0.7194	7074
indigenous	10	0	0	1	0.3938	2468
indigestion	4	0	0	1	0.7168	505
indignation	8	0	0	1	0.5092	6759
indignity	6	0	0	1	0.605	476
indigo	7	0	0	1	0.5668	217
indirect	5	0	0	1	0.6825	3260
indiscriminate	5	0	0	1	0.6944	481
indispensable	7	0	0	1	0.5714	11970
indisputable	7	0	0	1	0.5692	318
indoctrinate	7	0	0	1	0.5989	379
indolence	10	0	0	1	0.4488	127
indolent	9	0	0	1	0.4663	757
indoor	1	0	0	1	0.9381	743
indubitable	6	0	0	1	0.6147	231
induction	10	0	0	1	0.4353	1105
inductive	8	0	0	1	0.5275	654
indulge	10	0	0	1	0.3864	10287
indulgence	7	0	0	1	0.5885	1502
industrialise	3	0	0	1	0.7878	1579
industrialist	2	0	0	1	0.8427	267
inedible	4	0	0	1	0.7251	702
ineffable	10	0	0	1	0.4247	146
ineffective	2	0	0	1	0.8001	1406
ineffectiveness	1	0	0	1	0.8598	328
inefficiency	1	0	0	1	0.8762	202
ineligible	6	0	0	1	0.629	124
inertia	10	0	0	1	0.3997	6545
inescapable	4	0	0	1	0.735	434
inestimable	4	0	0	1	0.7485	171
inevitably	5	0	0	1	0.6537	1259
inexcusable	7	0	0	1	0.5867	1396
inexhaustible	4	0	0	1	0.7125	240
inexorable	8	0	0	1	0.5096	2451
inexplicable	5	0	0	1	0.6907	540
inexpressible	4	0	0	1	0.7006	1062
inextricable	9	0	0	1	0.47	100
infallible	7	0	0	1	0.5514	321
infantile	3	0	0	1	0.769	277
infatuate	10	0	0	1	0.381	252
infatuated	9	0	0	1	0.4556	270
infatuation	10	0	0	1	0.4049	163
infection	5	0	0	1	0.6523	3860
infer	5	0	0	1	0.6542	7800
inferential	7	0	0	1	0.5824	273
inferior	7	0	0	1	0.5548	10739
infernal	10	0	0	1	0.4416	274
infertile	5	0	0	1	0.6893	383
infest	10	0	0	1	0.4328	2715
infested	9	0	0	1	0.5	104
infidelity	8	0	0	1	0.5026	195
infiltrate	9	0	0	1	0.4895	711
infinitely	6	0	0	1	0.6111	162
infirm	8	0	0	1	0.5145	3553
infirmary	7	0	0	1	0.5723	318
infirmity	7	0	0	1	0.5633	577
inflamed	4	0	0	1	0.748	127
inflammation	6	0	0	1	0.6136	352
inflated	3	0	0	1	0.7787	122
inflationary	4	0	0	1	0.7438	402
inflection	9	0	0	1	0.4843	254
inflict	10	0	0	1	0.3501	5996
inflow	1	0	0	1	0.9167	156
info	3	0	0	1	0.7811	868
inform	6	0	0	1	0.6463	8294
informal	3	0	0	1	0.7846	1532
informant	4	0	0	1	0.7129	902
information	4	0	0	1	0.7299	2318
informed	6	0	0	1	0.6226	1746
infraction	10	0	0	1	0.3598	164
infrequent	4	0	0	1	0.7016	248
infrequently	1	0	0	1	0.8587	184
infringe	9	0	0	1	0.4506	2186
infringement	9	0	0	1	0.4523	1311
infuriate	7	0	0	1	0.5801	1367
infuriating	9	0	0	1	0.4547	1821
infuse	8	0	0	1	0.5284	2008
ingenuity	7	0	0	1	0.5725	2433
ingenuous	6	0	0	1	0.6025	478
ingredient	10	0	0	1	0.4119	13197
inhabitable	2	0	0	1	0.8037	107
inherent	7	0	0	1	0.5594	9390
inheritance	5	0	0	1	0.6643	828
inherited	4	0	0	1	0.7003	704
inimical	9	0	0	1	0.4554	224
initiation	6	0	0	1	0.6073	1230
injection	6	0	0	1	0.6278	1741
injure	4	0	0	1	0.7325	3451
injurious	4	0	0	1	0.7421	853
inkling	9	0	0	1	0.5	298
inlet	5	0	0	1	0.6835	3166
innate	8	0	0	1	0.5126	5907
innocent	7	0	0	1	0.5933	7915
innovation	6	0	0	1	0.6174	6638
inopportune	6	0	0	1	0.6159	414
inquest	6	0	0	1	0.6319	163
inquire	5	0	0	1	0.6824	4068
inquiring	5	0	0	1	0.6886	273
inquiry	6	0	0	1	0.6088	7832
inquisition	5	0	0	1	0.6915	201
inquisitive	7	0	0	1	0.5671	1333
insane	9	0	0	1	0.4947	3228
insatiable	8	0	0	1	0.5163	2638
inscription	7	0	0	1	0.5719	299
insect	4	0	0	1	0.7269	7046
insecticide	3	0	0	1	0.7739	398
insecure	4	0	0	1	0.732	403
insensitive	6	0	0	1	0.6414	2892
insert	5	0	0	1	0.6861	5133
insertion	5	0	0	1	0.6815	653
inset	5	0	0	1	0.687	393
inside	3	0	0	1	0.7556	1330
insider	4	0	0	1	0.7269	1659
insignificant	4	0	0	1	0.7047	2052
insipid	10	0	0	1	0.4364	440
insist	5	0	0	1	0.6681	4920
insistence	4	0	0	1	0.7309	799
insofar	3	0	0	1	0.8	200
insoluble	4	0	0	1	0.7409	193
insolvent	10	0	0	1	0.4178	146
insomniac	5	0	0	1	0.6612	121
insouciance	10	0	0	1	0.3983	118
insouciant	10	0	0	1	0.3761	109
inspect	8	0	0	1	0.515	6833
inspection	8	0	0	1	0.5264	3594
inspire	6	0	0	1	0.6209	5866
instability	4	0	0	1	0.7221	367
installment	7	0	0	1	0.5812	5853
instant	7	0	0	1	0.5685	7914
instantaneously	4	0	0	1	0.7344	640
instate	7	0	0	1	0.562	121
instigate	10	0	0	1	0.4017	590
instill	7	0	0	1	0.5552	1603
instinctively	7	0	0	1	0.5935	743
institutional	5	0	0	1	0.6795	2527
institutionalize	2	0	0	1	0.8309	136
instructive	7	0	0	1	0.5536	1604
instructor	5	0	0	1	0.6714	2097
insular	7	0	0	1	0.5937	694
insularity	10	0	0	1	0.4296	426
insulate	9	0	0	1	0.4888	5868
insulation	7	0	0	1	0.5533	779
insulted	7	0	0	1	0.5817	153
insuperable	6	0	0	1	0.6395	319
insurance	5	0	0	1	0.6664	8030
insure	2	0	0	1	0.831	3361
insurrection	9	0	0	1	0.4615	377
intact	9	0	0	1	0.4532	8246
integrate	9	0	0	1	0.4553	9375
integrated	6	0	0	1	0.6042	2547
integration	8	0	0	1	0.5385	3337
intellectualism	3	0	0	1	0.7648	2177
intellectualize	5	0	0	1	0.6816	1231
intelligence	4	0	0	1	0.7174	4066
intelligent	4	0	0	1	0.7391	3882
intelligently	1	0	0	1	0.8692	130
intelligible	8	0	0	1	0.5312	4691
intend	7	0	0	1	0.5913	7150
intense	8	0	0	1	0.5296	10647
intensely	5	0	0	1	0.6711	979
intensify	8	0	0	1	0.508	7120
intensity	7	0	0	1	0.56	6080
intensive	9	0	0	1	0.4786	9514
intensively	6	0	0	1	0.6266	541
intent	5	0	0	1	0.655	2032
intention	7	0	0	1	0.5952	6534
intentional	7	0	0	1	0.5883	2062
intently	8	0	0	1	0.5267	843
interaction	5	0	0	1	0.6522	6078
interactive	4	0	0	1	0.7128	1605
intercession	9	0	0	1	0.4865	222
interchange	5	0	0	1	0.6954	591
interchangeable	2	0	0	1	0.8359	128
intercom	7	0	0	1	0.5745	188
interconnect	5	0	0	1	0.6849	384
intercourse	6	0	0	1	0.6189	5056
interdependence	3	0	0	1	0.7802	182
interest	3	0	0	1	0.7722	2133
interesting	3	0	0	1	0.792	572
interference	7	0	0	1	0.5937	7123
interior	6	0	0	1	0.6497	7006
interlocking	3	0	0	1	0.7731	119
interlocutor	8	0	0	1	0.517	265
interloper	8	0	0	1	0.5202	248
interlude	7	0	0	1	0.5744	336
intermarriage	2	0	0	1	0.8294	1729
interminable	7	0	0	1	0.5624	457
intermingle	3	0	0	1	0.7778	315
intermittent	9	0	0	1	0.4629	6275
intermix	2	0	0	1	0.8352	176
intern	6	0	0	1	0.6317	733
internal	4	0	0	1	0.7004	6845
international	2	0	0	1	0.827	1763
internationally	1	0	0	1	0.8626	131
internet	1	0	0	1	0.8895	190
internist	5	0	0	1	0.6976	420
interpersonal	4	0	0	1	0.7399	6106
interplay	4	0	0	1	0.7495	3317
interpose	4	0	0	1	0.7073	328
interpretation	7	0	0	1	0.5567	6813
interpreter	7	0	0	1	0.5674	1343
interrelationship	3	0	0	1	0.761	456
interruption	4	0	0	1	0.703	1111
intersect	5	0	0	1	0.6631	371
intersperse	7	0	0	1	0.5703	498
intervention	8	0	0	1	0.5012	8052
interview	4	0	0	1	0.7429	4901
interviewee	1	0	0	1	0.8879	455
interweave	3	0	0	1	0.7574	202
interwoven	7	0	0	1	0.581	105
intestinal	5	0	0	1	0.6711	228
intestine	8	0	0	1	0.5204	857
intimately	5	0	0	1	0.6588	809
intoxicate	3	0	0	1	0.7692	377
intoxication	5	0	0	1	0.6991	113
intractable	9	0	0	1	0.452	354
intransigent	10	0	0	1	0.3558	385
intransitive	5	0	0	1	0.6982	169
intrepid	10	0	0	1	0.3587	761
intricacy	7	0	0	1	0.5804	4023
intrigue	10	0	0	1	0.3592	6973
intrigued	10	0	0	1	0.3986	148
intriguing	6	0	0	1	0.6095	1009
introspective	7	0	0	1	0.5745	141
introvert	5	0	0	1	0.6509	507
intrude	8	0	0	1	0.5207	7451
intrusion	7	0	0	1	0.5827	2696
intrusiveness	9	0	0	1	0.4897	1215
intuition	8	0	0	1	0.5421	6587
inundate	10	0	0	1	0.3829	875
invade	8	0	0	1	0.5441	9410
invader	5	0	0	1	0.6834	619
invalidate	6	0	0	1	0.6201	2798
invariable	4	0	0	1	0.7023	1448
invariably	7	0	0	1	0.5747	2083
invasive	7	0	0	1	0.5659	857
invective	10	0	0	1	0.3506	174
inveigle	10	0	0	1	0.3071	140
invent	4	0	0	1	0.7192	6140
inventive	3	0	0	1	0.752	766
inventiveness	4	0	0	1	0.7387	796
inversion	6	0	0	1	0.6275	408
invertebrate	6	0	0	1	0.6205	195
invest	5	0	0	1	0.6588	6041
inveterate	10	0	0	1	0.4198	536
invigilator	7	0	0	1	0.5888	197
invincible	8	0	0	1	0.5195	745
invocation	9	0	0	1	0.4607	191
invoice	7	0	0	1	0.5542	1005
involuntarily	3	0	0	1	0.7816	293
involuntary	2	0	0	1	0.8123	991
involve	6	0	0	1	0.6054	6416
inward	3	0	0	1	0.7663	4553
ion	5	0	0	1	0.6903	1382
irascible	10	0	0	1	0.4104	346
irk	7	0	0	1	0.568	338
ironical	6	0	0	1	0.6256	593
irony	5	0	0	1	0.6834	5721
irradiate	4	0	0	1	0.7194	335
irregular	3	0	0	1	0.7513	2099
irregularity	3	0	0	1	0.8	170
irrepressible	8	0	0	1	0.5384	990
irrespective	9	0	0	1	0.4865	5182
irrespectively	6	0	0	1	0.6383	600
irresponsibility	2	0	0	1	0.8309	349
irretrievable	6	0	0	1	0.6211	227
irreverent	8	0	0	1	0.5185	324
irrigate	7	0	0	1	0.5916	5529
irritable	7	0	0	1	0.5754	862
irritant	6	0	0	1	0.6091	220
irritating	7	0	0	1	0.5802	374
irruption	6	0	0	1	0.6031	131
is	1	0	0	1	0.9074	108
isle	2	0	0	1	0.8137	4122
isolated	5	0	0	1	0.696	1796
isotope	8	0	0	1	0.522	295
issuance	5	0	0	1	0.6918	146
issue	6	0	0	1	0.6267	7257
issuer	3	0	0	1	0.7844	269
it	2	0	0	1	0.8099	242
item	4	0	0	1	0.7142	6950
itemize	3	0	0	1	0.7676	142
iterate	8	0	0	1	0.537	378
itinerary	10	0	0	1	0.396	1202
itself	1	0	0	1	0.9454	183
ivory	6	0	0	1	0.6153	5053
ivy	3	0	0	1	0.7635	203
jab	6	0	0	1	0.6172	303
jacket	1	0	0	1	0.9361	689
jackpot	7	0	0	1	0.5639	1433
jaded	9	0	0	1	0.4865	185
jagged	7	0	0	1	0.5991	424
jam	4	0	0	1	0.7081	6433
janitor	8	0	0	1	0.5266	376
jape	6	0	0	1	0.6078	102
jargon	8	0	0	1	0.504	5278
jaundice	8	0	0	1	0.5342	146
javelin	9	0	0	1	0.4821	168
jazz	1	0	0	1	0.8954	1271
jealousy	4	0	0	1	0.7123	1404
jeer	5	0	0	1	0.672	439
jejune	10	0	0	1	0.4096	166
jelly	5	0	0	1	0.6831	811
jellyfish	4	0	0	1	0.7257	226
jeopardy	7	0	0	1	0.5874	492
jest	5	0	0	1	0.6961	431
jet	6	0	0	1	0.6326	5286
jettison	9	0	0	1	0.4642	265
jetty	8	0	0	1	0.5415	349
jewelery	2	0	0	1	0.8149	281
jibe	5	0	0	1	0.6532	124
jingle	2	0	0	1	0.8277	267
job	1	0	0	1	0.8716	366
jobless	1	0	0	1	0.9839	124
jocular	5	0	0	1	0.6801	297
jog	6	0	0	1	0.6344	4715
join	2	0	0	1	0.8024	825
joint	5	0	0	1	0.6571	9278
jointly	4	0	0	1	0.7165	649
jolt	10	0	0	1	0.4193	1450
jot	7	0	0	1	0.5537	475
journalism	2	0	0	1	0.8172	3156
journalist	3	0	0	1	0.7868	5733
jovial	4	0	0	1	0.721	276
joy	2	0	0	1	0.8307	1861
joystick	4	0	0	1	0.7436	156
judge	4	0	0	1	0.715	4899
judiciary	5	0	0	1	0.6838	2068
jug	8	0	0	1	0.5389	3860
juice	2	0	0	1	0.8498	1345
jumble	9	0	0	1	0.4578	959
jumbo	6	0	0	1	0.6041	293
jump	3	0	0	1	0.7703	566
junction	5	0	0	1	0.6729	4320
juncture	6	0	0	1	0.6413	460
jungle	5	0	0	1	0.6589	5309
junk	6	0	0	1	0.6352	6799
jurisprudence	7	0	0	1	0.5847	313
juror	5	0	0	1	0.688	1346
justice	5	0	0	1	0.6895	6780
justifiable	3	0	0	1	0.751	245
justification	6	0	0	1	0.6194	3095
justified	4	0	0	1	0.7315	1553
justify	6	0	0	1	0.6296	9484
juvenile	7	0	0	1	0.559	9801
kaleidoscope	6	0	0	1	0.6369	347
kangaroo	4	0	0	1	0.7306	913
karat	3	0	0	1	0.7717	127
keenly	7	0	0	1	0.5862	551
kennel	8	0	0	1	0.5341	367
kernel	6	0	0	1	0.6417	494
ketchup	5	0	0	1	0.686	258
kettle	6	0	0	1	0.6086	6392
keyboard	1	0	0	1	0.8791	2506
khaki	2	0	0	1	0.8182	121
kick	5	0	0	1	0.692	5259
kid	2	0	0	1	0.8047	1157
kidnap	5	0	0	1	0.6827	5458
killer	1	0	0	1	0.94	100
kilometer	1	0	0	1	0.9151	471
kindness	2	0	0	1	0.8416	1376
kindred	4	0	0	1	0.7153	274
kinetic	8	0	0	1	0.5067	223
kinship	4	0	0	1	0.7283	3062
kiosk	10	0	0	1	0.4218	403
kit	7	0	0	1	0.5832	7979
kite	3	0	0	1	0.7657	2825
kitten	2	0	0	1	0.8218	432
kiwi	3	0	0	1	0.7787	253
knead	7	0	0	1	0.5886	333
knee	2	0	0	1	0.8378	2312
knife	2	0	0	1	0.8193	1295
knight	4	0	0	1	0.738	3718
knotty	5	0	0	1	0.6758	691
know	2	0	0	1	0.8378	339
knowhow	5	0	0	1	0.6538	1427
knowledgeable	2	0	0	1	0.8339	596
known	1	0	0	1	0.8768	276
kowtow	2	0	0	1	0.8357	213
kudos	8	0	0	1	0.5407	135
lab	4	0	0	1	0.7468	3503
label	6	0	0	1	0.6432	8349
labile	10	0	0	1	0.4496	129
labor	5	0	0	1	0.697	6149
laborer	1	0	0	1	0.9065	460
laborious	6	0	0	1	0.6114	1333
laborsaving	2	0	0	1	0.8472	144
labour	4	0	0	1	0.7483	3473
labourer	1	0	0	1	0.9072	291
lace	5	0	0	1	0.6707	4656
lack	5	0	0	1	0.6645	3935
lackluster	4	0	0	1	0.75	124
laconic	10	0	0	1	0.4396	182
lad	6	0	0	1	0.618	5081
ladder	6	0	0	1	0.6182	7850
ladle	7	0	0	1	0.5785	325
lady	3	0	0	1	0.7709	550
ladybird	3	0	0	1	0.7829	175
lagoon	8	0	0	1	0.5289	329
laid	5	0	0	1	0.6513	433
lamb	7	0	0	1	0.5963	5484
lameness	6	0	0	1	0.6471	697
lamentation	3	0	0	1	0.7652	132
lamp	6	0	0	1	0.6416	4113
lampoon	9	0	0	1	0.478	182
landfall	2	0	0	1	0.8146	205
landing	2	0	0	1	0.8208	547
landlady	1	0	0	1	0.898	2589
landmine	4	0	0	1	0.7413	201
lane	7	0	0	1	0.5616	9721
languid	10	0	0	1	0.4233	3227
languish	9	0	0	1	0.4615	897
languor	6	0	0	1	0.6259	139
lank	9	0	0	1	0.4925	134
lap	6	0	0	1	0.6235	5482
lapel	8	0	0	1	0.53	100
lapse	9	0	0	1	0.4767	4869
larynx	7	0	0	1	0.5937	315
last	3	0	0	1	0.7509	1088
lasting	4	0	0	1	0.7185	1979
lastly	1	0	0	1	0.8505	214
later	4	0	0	1	0.7195	1187
latitude	5	0	0	1	0.6958	4822
latter	2	0	0	1	0.8117	4583
laudable	7	0	0	1	0.5699	365
laudatory	7	0	0	1	0.562	121
laugh	3	0	0	1	0.7513	937
launch	6	0	0	1	0.6217	9091
launderette	2	0	0	1	0.8438	160
laureate	10	0	0	1	0.414	1483
laurel	6	0	0	1	0.6181	419
lava	5	0	0	1	0.6589	730
lavatory	9	0	0	1	0.4992	7216
lavender	7	0	0	1	0.595	121
lavish	7	0	0	1	0.5629	1789
lawful	2	0	0	1	0.8291	433
lawmaker	1	0	0	1	0.899	208
lawyer	2	0	0	1	0.8425	1898
lax	5	0	0	1	0.6667	648
layer	5	0	0	1	0.6699	9391
layoff	8	0	0	1	0.5498	5013
layout	6	0	0	1	0.6281	6965
laziness	1	0	0	1	0.866	291
leach	8	0	0	1	0.5408	196
lead	3	0	0	1	0.7522	1921
leadership	1	0	0	1	0.8897	2584
leading	2	0	0	1	0.809	2256
leaf	2	0	0	1	0.8137	2222
leak	7	0	0	1	0.598	7879
lean	7	0	0	1	0.5648	10245
leap	5	0	0	1	0.6514	7826
lease	9	0	0	1	0.4798	8100
leash	8	0	0	1	0.5056	354
leather	5	0	0	1	0.6907	5594
led	3	0	0	1	0.7513	374
ledger	10	0	0	1	0.4251	247
lee	6	0	0	1	0.6073	191
leek	7	0	0	1	0.5551	227
leeway	6	0	0	1	0.6364	242
leftist	1	0	0	1	0.8893	524
leftover	6	0	0	1	0.6434	847
leg	2	0	0	1	0.8454	1080
legalize	2	0	0	1	0.8022	369
legally	2	0	0	1	0.8463	501
legendary	5	0	0	1	0.6811	693
legible	8	0	0	1	0.5218	596
legion	9	0	0	1	0.471	276
legislature	4	0	0	1	0.7175	2322
legitimize	3	0	0	1	0.792	250
leisurely	6	0	0	1	0.6208	451
lemonade	1	0	0	1	0.9125	663
lender	3	0	0	1	0.761	502
lengthen	2	0	0	1	0.8301	312
lengthy	3	0	0	1	0.7746	3119
leniency	6	0	0	1	0.604	1760
lenient	9	0	0	1	0.4712	4077
leprosy	10	0	0	1	0.3385	192
less	3	0	0	1	0.7687	895
lesser	2	0	0	1	0.8008	256
lesson	4	0	0	1	0.7391	1468
lethargic	9	0	0	1	0.464	222
letter	4	0	0	1	0.7479	1285
leukemia	7	0	0	1	0.5821	402
levee	9	0	0	1	0.4602	176
level	4	0	0	1	0.7355	1917
levelheaded	3	0	0	1	0.785	107
lever	7	0	0	1	0.5746	6759
levy	9	0	0	1	0.4849	8637
lexical	5	0	0	1	0.6885	244
lexicography	3	0	0	1	0.7574	202
lexicon	10	0	0	1	0.429	599
liabilities	7	0	0	1	0.585	253
liability	7	0	0	1	0.5889	7453
liable	8	0	0	1	0.5295	7603
liaise	10	0	0	1	0.4153	443
liberate	7	0	0	1	0.5752	5988
liberty	5	0	0	1	0.6949	5949
licentious	5	0	0	1	0.6542	107
lichen	7	0	0	1	0.5746	315
lick	8	0	0	1	0.5086	5509
lid	7	0	0	1	0.5823	5918
lie	2	0	0	1	0.8225	1775
life	2	0	0	1	0.8127	363
lifeblood	2	0	0	1	0.8294	797
lifelike	3	0	0	1	0.765	549
lifelong	2	0	0	1	0.8403	889
lifespan	1	0	0	1	0.8878	294
lifetime	1	0	0	1	0.9181	1941
ligament	9	0	0	1	0.4552	402
light	3	0	0	1	0.752	1524
lighten	3	0	0	1	0.7542	301
lighter	3	0	0	1	0.786	215
lightweight	2	0	0	1	0.8049	369
like	1	0	0	1	0.9595	148
liken	3	0	0	1	0.7673	739
likeness	3	0	0	1	0.78	550
likewise	4	0	0	1	0.707	7345
lilac	8	0	0	1	0.5354	226
limb	7	0	0	1	0.5781	7441
limbic	7	0	0	1	0.5541	1256
limelight	3	0	0	1	0.7771	1256
limitless	1	0	0	1	0.9008	131
limousine	8	0	0	1	0.5124	322
limpid	8	0	0	1	0.5491	346
line	4	0	0	1	0.7325	1839
linear	4	0	0	1	0.7018	4558
liner	9	0	0	1	0.4784	4716
linguistic	5	0	0	1	0.6887	5966
lining	5	0	0	1	0.6587	835
lionize	4	0	0	1	0.7089	158
liquefy	4	0	0	1	0.7131	122
lit	7	0	0	1	0.5952	168
liter	5	0	0	1	0.6549	3492
literacy	5	0	0	1	0.6809	7185
literal	6	0	0	1	0.6095	2832
literate	4	0	0	1	0.7184	1456
literature	4	0	0	1	0.7296	5839
lithe	9	0	0	1	0.4792	192
litigation	9	0	0	1	0.4626	348
litre	5	0	0	1	0.6933	4438
litter	6	0	0	1	0.6326	5419
little	3	0	0	1	0.7809	753
live	2	0	0	1	0.8318	773
lively	2	0	0	1	0.8118	1764
liver	4	0	0	1	0.729	4864
lives	1	0	0	1	0.8923	130
loaf	8	0	0	1	0.5461	5984
loaner	1	0	0	1	0.8824	153
local	4	0	0	1	0.7067	2322
locate	3	0	0	1	0.7746	4077
locomotion	3	0	0	1	0.7642	123
